2.8436,-0.28411,-1.4133,-0.99954,0.74862,4.7943,-3.7074,0.59426,-1.0568,-0.50288,2.4323,-2.7438,2.7606,0.12578,0.65852,-0.33227,1.6462,-3.3103,-1.5567,-1.5482,7.5285,-7.2092,5.4315,-2.3033,-2.5538,2.7431,-2.4068,2.4519,-3.4885
1.3002,1.3134,-1.1886,-3.0607,2.4553,3.6105,0.0035358,-5.8389,5.3032,-5.1275,1.3008,-4.1281,3.2249,4.1148,-3.0187,-2.9661,4.9291,-1.3646,-5.0586,1.213,5.1723,-2.923,-2.2379,3.2837,0.54014,-1.8372,-2.9532,0.59296,-0.10952
4.2206,-0.47098,-2.474,-2.4989,0.88212,4.5489,-4.7188,2.6487,1.3015,-4.964,2.7315,-1.0814,0.98261,-0.62235,-2.0172,2.4609,-2.5177,2.8276,-7.0316,2.6146,4.6158,-4.1675,1.3033,0.91782,-0.62301,1.1899,-0.97378,0.6663,-3.5462
1.1621,1.0488,0.201,-5.8707,7.0798,2.6829,-6.8306,1.3388,1.6948,3.2751,-1.796,-8.1752,9.8122,-3.4109,1.4983,-1.1155,-0.53771,-1.5086,-4.6415,-1.0464,6.9967,-6.2387,5.7843,-0.54212,-0.33491,-0.62486,-0.035551,-0.57129,-2.891
4.3444,-2.6506,-1.0533,-0.50278,3.3511,-0.22785,-2.1332,-0.57345,0.90031,-1.3352,2.0014,-3.6108,0.80062,2.6603,-0.85331,-1.356,0.80929,1.1972,-3.9075,0.39647,2.3833,-0.53235,-1.4467,1.1378,3.5067,-6.0666,-0.81317,3.1189,-1.988
-0.45664,1.4996,0.081235,-1.5704,8.057,-2.5715,-2.5969,-1.8505,4.8115,-7.522,2.1731,-8.8521,8.6311,4.353,-5.8343,0.39491,0.56288,0.68427,2.0782,-8.8795,6.4114,-0.93487,-0.35668,4.9958,-2.5815,-1.5166,4.1645,-2.9976,-3.4088
3.3173,-2.3559,-0.1701,-4.5659,7.2824,-0.51982,-1.1347,-0.51359,1.0486,-2.921,5.8451,-5.2874,3.9719,-0.27837,-2.0371,0.21017,1.896,-3.398,-3.7869,-0.94481,1.4497,-0.48594,-2.4998,6.8276,0.70747,-0.72354,-1.7518,-0.69003,-2.2614
1.6455,0.19162,3.9373,-6.7161,8.7723,2.4453,-6.5379,-2.3071,1.1643,-7.0078,7.1547,-6.2698,3.2,6.173,-3.3532,-3.3355,7.1797,-3.5625,-9.8603,1.0161,6.8555,-2.2664,0.17827,3.4988,-2.2271,0.84831,2.045,0.0026502,-4.9631
1.5598,1.5928,1.891,-6.094,4.2289,3.6345,-3.8367,2.5051,3.8709,-6.7453,-0.67266,-2.8834,3.5057,0.097428,0.82386,-2.8144,3.3105,-2.0947,-2.1293,-1.1499,6.7572,-5.3411,4.1561,1.7131,-1.1314,-1.8764,-0.19356,0.62208,-3.282
3.3079,-0.53026,-3.4925,0.88507,4.5759,3.2706,-3.6602,-0.57097,1.0019,-2.4071,-0.82696,-4.3935,2.5785,3.4187,0.3334,-0.86211,1.2678,-2.0484,0.55571,-2.6851,1.4882,0.65312,-1.2143,3.3273,-2.1567,1.7883,-0.21196,-1.5621,-0.77241
1.1366,-0.38195,3.4399,-5.0817,1.5674,0.39803,-0.21641,-1.9659,4.8043,-4.5586,1.5479,-2.196,0.35302,-0.57177,-0.58107,-1.4778,3.1461,2.1834,-1.4341,-4.8136,6.204,-5.2852,1.7963,1.6954,2.461,-3.7714,3.2732,-3.6813,-2.3412
2.2618,-2.0903,2.2762,-3.062,5.4872,1.9962,-5.685,0.28238,2.6329,-3.4979,2.6009,-8.6534,8.475,1.2395,-1.9125,0.86253,-1.7325,-2.2654,0.65762,-5.5975,6.4512,-5.2202,3.5787,4.1374,-0.10311,-3.8077,-1.5296,2.6035,-3.8373
2.1763,-0.052481,6.7171,-9.6664,1.8204,0.96858,2.556,-1.8834,3.1008,-5.5098,0.5748,-1.8042,2.9288,1.389,-0.95635,-0.10083,5.8212,-6.136,-2.1522,-0.63738,7.1416,-2.2442,1.6436,0.06085,-0.22206,-5.164,5.7109,-3.8478,-1.6817
2.0224,-3.0839,0.1149,-0.27218,0.88256,5.2146,-3.4672,1.2144,-1.4149,-2.4098,1.3514,0.25423,1.4484,0.47699,2.9992,-4.2168,0.35977,1.0877,-3.0485,-1.4685,8.4374,-4.8059,3.5611,-4.9184,3.1056,-2.7446,-0.98572,0.23004,-2.209
3.399,-1.8729,0.35421,-3.6175,7.4114,0.2841,-6.9804,0.31792,0.21936,-0.31151,1.6374,-3.4615,4.3967,1.3326,-1.9977,-2.474,4.0974,-2.2501,-4.5893,-1.4549,6.5243,-8.056,3.0581,1.8602,1.3714,-2.1609,0.059851,1.6548,-3.2929
