0.66768,0.19273,-1.153,-0.66741,-0.20013,-0.11894,2.0155,0.98021,-1.7982
0.64253,1.1632,-2.1162,-0.066948,0.71477,0.44798,-1.9567,0.90689,0.78419
0.32987,-1.351,0.83174,-1.3306,0.66967,0.25864,2.3716,-0.82411,-0.25913
-0.37631,0.66034,-0.40597,-1.1846,1.8748,-0.47295,-1.4439,1.4117,0.07173
-0.36673,0.95574,0.85293,-0.42482,-0.834,-0.31004,2.1147,-3.1095,1.4879
0.50919,-0.4537,-0.34471,1.118,0.45553,-0.91389,0.25046,0.29864,-1.1608
0.29853,2.1942,-2.9578,1.2404,-1.5723,-0.33105,1.3663,-1.5793,1.7356
0.50269,1.2701,-0.73775,-1.155,0.29847,-1.2431,2.8496,-3.813,1.9469
0.36594,0.86826,-1.3433,-0.076714,0.43375,0.089124,-1.1193,-0.3645,0.3943
1.3741,-0.1178,-0.5355,-0.12957,-1.4659,1.0269,0.62891,-0.34425,0.34089
1.0355,0.53376,-1.2637,-0.15195,0.21645,-1.271,0.49638,1.2528,-0.84632
1.2637,-0.13948,0.24904,-0.059832,0.088373,-2.1806,1.2966,-0.56199,0.54453
0.20313,0.71627,1.3168,-1.2753,-1.8528,0.080687,0.40141,0.84869,0.18808
-0.39493,1.1225,-0.022608,0.73129,-1.6083,-0.14256,-0.74956,1.0195,0.10209
0.11836,1.6021,-1.1937,-0.90597,-1.0124,2.5953,-2.3629,0.59889,0.10993
0.87825,-0.5222,0.33026,0.41287,-0.32523,-0.9357,0.9256,1.1,-1.1918
0.71408,-0.23257,-0.1154,1.3157,-1.0705,-0.70951,0.65377,-1.0905,1.1594
-1.2615,1.974,-0.81626,-0.70786,0.3305,0.61804,-1.0317,-1.0583,1.9163
0.48327,-0.086033,-0.43061,1.3334,-1.6758,-0.56678,1.8434,0.20675,-0.21972
0.32108,0.59333,-0.26519,0.16502,-2.3409,2.2625,-2.0746,1.1882,0.42898
0.26625,0.11223,-0.51067,0.4957,-0.28802,-0.92006,0.6219,-0.65661,1.5578
0.75956,1.3529,-1.4045,1.0288,-2.9314,-0.042999,1.0979,-1.477,2.4198
0.78637,0.3248,-1.5803,-0.67549,1.2382,-1.4231,0.40945,2.1847,-1.3456
